Timestamp,CAN_Id,Message_Name,Signal_Name,Physical_Value,Units,Bus_Channel
0.000000,0x18F,EPS_Status_01,Motor_Current,5.35,Amps,CAN_FD_1
0.000000,0x18F,EPS_Status_01,Inverter_Temp,42.02,C,CAN_FD_1
0.000000,0x20C,EPS_Feedback_02,Steering_Angle,0.08,Deg,CAN_FD_1
0.000000,0x20C,EPS_Feedback_02,System_Voltage,12.18,V,CAN_FD_1
1.000000,0x18F,EPS_Status_01,Motor_Current,5.00,Amps,CAN_FD_1
1.000000,0x18F,EPS_Status_01,Inverter_Temp,41.97,C,CAN_FD_1
1.000000,0x20C,EPS_Feedback_02,Steering_Angle,0.85,Deg,CAN_FD_1
1.000000,0x20C,EPS_Feedback_02,System_Voltage,12.17,V,CAN_FD_1
2.000000,0x18F,EPS_Status_01,Motor_Current,5.02,Amps,CAN_FD_1
2.000000,0x18F,EPS_Status_01,Inverter_Temp,42.02,C,CAN_FD_1
2.000000,0x20C,EPS_Feedback_02,Steering_Angle,1.59,Deg,CAN_FD_1
2.000000,0x20C,EPS_Feedback_02,System_Voltage,12.23,V,CAN_FD_1
3.000000,0x18F,EPS_Status_01,Motor_Current,4.98,Amps,CAN_FD_1
3.000000,0x18F,EPS_Status_01,Inverter_Temp,42.03,C,CAN_FD_1
3.000000,0x20C,EPS_Feedback_02,Steering_Angle,2.26,Deg,CAN_FD_1
3.000000,0x20C,EPS_Feedback_02,System_Voltage,12.19,V,CAN_FD_1
4.000000,0x18F,EPS_Status_01,Motor_Current,4.94,Amps,CAN_FD_1
4.000000,0x18F,EPS_Status_01,Inverter_Temp,41.99,C,CAN_FD_1
4.000000,0x20C,EPS_Feedback_02,Steering_Angle,2.98,Deg,CAN_FD_1
4.000000,0x20C,EPS_Feedback_02,System_Voltage,12.24,V,CAN_FD_1
5.000000,0x18F,EPS_Status_01,Motor_Current,4.99,Amps,CAN_FD_1
5.000000,0x18F,EPS_Status_01,Inverter_Temp,42.00,C,CAN_FD_1
5.000000,0x20C,EPS_Feedback_02,Steering_Angle,3.84,Deg,CAN_FD_1
5.000000,0x20C,EPS_Feedback_02,System_Voltage,12.26,V,CAN_FD_1
6.000000,0x18F,EPS_Status_01,Motor_Current,4.87,Amps,CAN_FD_1
6.000000,0x18F,EPS_Status_01,Inverter_Temp,42.01,C,CAN_FD_1
6.000000,0x20C,EPS_Feedback_02,Steering_Angle,4.27,Deg,CAN_FD_1
6.000000,0x20C,EPS_Feedback_02,System_Voltage,12.18,V,CAN_FD_1
7.000000,0x18F,EPS_Status_01,Motor_Current,5.01,Amps,CAN_FD_1
7.000000,0x18F,EPS_Status_01,Inverter_Temp,42.02,C,CAN_FD_1
7.000000,0x20C,EPS_Feedback_02,Steering_Angle,5.45,Deg,CAN_FD_1
7.000000,0x20C,EPS_Feedback_02,System_Voltage,12.25,V,CAN_FD_1
8.000000,0x18F,EPS_Status_01,Motor_Current,4.99,Amps,CAN_FD_1
8.000000,0x18F,EPS_Status_01,Inverter_Temp,41.98,C,CAN_FD_1
8.000000,0x20C,EPS_Feedback_02,Steering_Angle,6.02,Deg,CAN_FD_1
8.000000,0x20C,EPS_Feedback_02,System_Voltage,12.20,V,CAN_FD_1
9.000000,0x18F,EPS_Status_01,Motor_Current,4.86,Amps,CAN_FD_1
9.000000,0x18F,EPS_Status_01,Inverter_Temp,42.02,C,CAN_FD_1
9.000000,0x20C,EPS_Feedback_02,Steering_Angle,6.27,Deg,CAN_FD_1
9.000000,0x20C,EPS_Feedback_02,System_Voltage,12.20,V,CAN_FD_1
10.000000,0x18F,EPS_Status_01,Motor_Current,4.75,Amps,CAN_FD_1
10.000000,0x18F,EPS_Status_01,Inverter_Temp,42.05,C,CAN_FD_1
10.000000,0x20C,EPS_Feedback_02,Steering_Angle,7.16,Deg,CAN_FD_1
10.000000,0x20C,EPS_Feedback_02,System_Voltage,12.22,V,CAN_FD_1
11.000000,0x18F,EPS_Status_01,Motor_Current,4.83,Amps,CAN_FD_1
11.000000,0x18F,EPS_Status_01,Inverter_Temp,41.99,C,CAN_FD_1
11.000000,0x20C,EPS_Feedback_02,Steering_Angle,8.08,Deg,CAN_FD_1
11.000000,0x20C,EPS_Feedback_02,System_Voltage,12.20,V,CAN_FD_1
12.000000,0x18F,EPS_Status_01,Motor_Current,4.92,Amps,CAN_FD_1
12.000000,0x18F,EPS_Status_01,Inverter_Temp,41.98,C,CAN_FD_1
